"month","total_revenue","total_orders","average_order_value"
"2011-01","98902","216","457.88"
"2011-02","91152","183","498.10"
"2011-03","145726","277","526.09"
"2011-04","116927","267","437.93"
"2011-05","146762","295","497.50"
"2011-06","215214","468","459.86"
"2011-07","115518","250","462.07"
"2011-08","207570","443","468.56"
"2011-09","290230","527","550.72"
"2011-10","199070","401","496.43"
"2011-11","298499","563","530.19"
"2011-12","333941","620","538.61"
"2012-01","135775","260","522.21"
"2012-02","100521","230","437.05"
"2012-03","163092","337","483.95"
"2012-04","161060","322","500.19"
"2012-05","208370","413","504.53"
"2012-06","256181","571","448.65"
"2012-07","145247","324","448.29"
"2012-08","303158","522","580.76"
"2012-09","289390","641","451.47"
"2012-10","252942","499","506.90"
"2012-11","323512","716","451.83"
"2012-12","338245","628","538.61"
"2013-01","199197","345","577.38"
"2013-02","167247","306","546.56"
"2013-03","198591","411","483.19"
"2013-04","177835","394","451.36"
"2013-05","260525","522","499.09"
"2013-06","396513","724","547.67"
"2013-07","229940","447","514.41"
"2013-08","326491","692","471.81"
"2013-09","376626","836","450.51"
"2013-10","293423","580","505.90"
"2013-11","373996","789","474.01"
"2013-12","405476","825","491.49"
"2014-01","241267","450","536.15"
"2014-02","184848","385","480.12"
"2014-03","263110","530","496.43"
"2014-04","242781","523","464.21"
"2014-05","288404","667","432.39"
"2014-06","401843","899","446.99"
"2014-07","258718","540","479.11"
"2014-08","456633","843","541.68"
"2014-09","481186","1017","473.14"
"2014-10","422785","810","521.96"
"2014-11","555312","1077","515.61"
"2014-12","503154","1093","460.34"
