"month","total_revenue","revenue_growth_percentage"
"2011-01","98902",NULL
"2011-02","91152","-7.84"
"2011-03","145726","59.87"
"2011-04","116927","-19.76"
"2011-05","146762","25.52"
"2011-06","215214","46.64"
"2011-07","115518","-46.32"
"2011-08","207570","79.69"
"2011-09","290230","39.82"
"2011-10","199070","-31.41"
"2011-11","298499","49.95"
"2011-12","333941","11.87"
"2012-01","135775","-59.34"
"2012-02","100521","-25.97"
"2012-03","163092","62.25"
"2012-04","161060","-1.25"
"2012-05","208370","29.37"
"2012-06","256181","22.95"
"2012-07","145247","-43.30"
"2012-08","303158","108.72"
"2012-09","289390","-4.54"
"2012-10","252942","-12.59"
"2012-11","323512","27.90"
"2012-12","338245","4.55"
"2013-01","199197","-41.11"
"2013-02","167247","-16.04"
"2013-03","198591","18.74"
"2013-04","177835","-10.45"
"2013-05","260525","46.50"
"2013-06","396513","52.20"
"2013-07","229940","-42.01"
"2013-08","326491","41.99"
"2013-09","376626","15.36"
"2013-10","293423","-22.09"
"2013-11","373996","27.46"
"2013-12","405476","8.42"
"2014-01","241267","-40.50"
"2014-02","184848","-23.38"
"2014-03","263110","42.34"
"2014-04","242781","-7.73"
"2014-05","288404","18.79"
"2014-06","401843","39.33"
"2014-07","258718","-35.62"
"2014-08","456633","76.50"
"2014-09","481186","5.38"
"2014-10","422785","-12.14"
"2014-11","555312","31.35"
"2014-12","503154","-9.39"
